"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"destreignia";0;0;0;0;0;0;0;0;0;0;0;1
"destreing";2;0;0;0;0;0;0;0;0;0;0;0
"desual";0;0;0;0;0;0;0;0;0;0;0;1
"det";0;0;0;0;1;0;0;0;0;0;1;0
"detant";0;0;0;0;0;0;1;0;0;0;0;0
"detot";0;0;0;0;0;0;0;0;1;0;1;0
"deu";2;0;0;0;0;0;0;0;0;3;1;2
"deualor";0;0;0;0;0;0;0;0;0;1;0;0
"deuenc";0;0;0;1;0;0;0;0;0;0;0;0
"deuer";0;0;0;0;0;0;1;0;0;0;0;0
"deueraia";0;0;0;0;0;0;0;0;0;1;0;0
"deuers";0;0;0;0;0;0;0;0;0;1;0;0
"deuos";0;0;0;0;0;0;0;0;0;0;0;1
"deuria";0;0;0;0;0;1;0;0;0;0;0;1
"dia";0;0;0;0;0;0;1;0;0;0;0;0
